description,category,dk_pn,mfr_pn,mfr,qty_shipped,gbp_unit_price,gbp_ext_price,invoice_id,date_shipped,series,product_status,package_type,core_processor,core_type,clock_speed,program_memory_size,other_parameters
NUCLEO-144 STM32U575ZI EVAL BRD,Evaluation Boards,497-NUCLEO-U575ZI-Q-ND,NUCLEO-U575ZI-Q,STMicroelectronics,5,£18.48000,£92.40,118363563,2025-11-24T06:00:00Z,STM32U5,Active,Bulk,,,,,"{""Type"": ""MCU 32-Bit"", ""Platform"": ""Nucleo-144"", ""Utilized IC / Part"": ""STM32U575"", ""Mounting Type"": ""Fixed"", ""Contents"": ""Board(s)"", ""Interconnect System"": ""Arduino R3 Shield, ST Morpho, ST Zio"", ""Suggested Programming Environment"": ""IAR EW, Keil MDK, STM32Cube"", ""Note"": ""-""}"
J-LINK EDU MINI,"Programmers, Emulators, and Debuggers",899-8.08.91-ND,8.08.91,Segger Microcontroller Systems,1,£46.98000,£46.98,118363563,2025-11-24T06:00:00Z,-,Active,Bulk,,,,,"{""Type"": ""Debugger, Programmer (In-Circuit/In-System)"", ""Contents"": ""Board(s)"", ""Utilized IC / Part"": ""ARM® Cortex®-M"", ""Note"": ""For non-profit, non-commercial, educational and hobby use only. Any commercial use of the part will break the license agreement.""}"
BLACK MAGIC PROBE WITH JTAG CABL,"Programmers, Emulators, and Debuggers",1528-2613-ND,3839,Adafruit Industries LLC,1,£69.01000,£69.01,118363563,2025-11-24T06:00:00Z,-,Active,Bulk,,,,,"{""Type"": ""Debugger (In-Circuit/In-System)"", ""Contents"": ""Board(s)"", ""Utilized IC / Part"": ""MCU"", ""Note"": ""-""}"
"GRAPHIC DISPLAY TFT BLACK 2.4""","LCD, OLED, Graphic",757-NHD-2.4-240320AF-CTXP-T-ND,NHD-2.4-240320AF-CTXP-T,Newhaven Display Intl,3,£11.88000,£35.64,118363563,2025-11-24T06:00:00Z,-,Active,Box,,,,,"{""Display Type"": ""TFT - Color"", ""Display Mode"": ""Transmissive"", ""Touchscreen"": ""Resistive"", ""Diagonal Screen Size"": ""2.4\"" (60.96mm)"", ""Viewing Area"": ""50.26mm W x 38.32mm H"", ""Backlight"": ""LED"", ""Dot Pixels"": ""320 x 240 (QVGA)"", ""Interface"": ""Parallel, 8/16-Bit (RGB)"", ""Controller Type"": ""ST7789Vi"", ""Graphics Color"": ""Black"", ""Background Color"": ""-"", ""Dot Size"": ""0.05mm W x 0.15mm H"", ""Dot Pitch"": ""0.15mm W x 10.80mm H""}"
"GRAPHIC DISPLAY TFT RGB 3.5""","LCD, OLED, Graphic",1548-NHD-3.5-320240JF-ASXP-T-ND,NHD-3.5-320240JF-ASXP-T,Newhaven Display Intl,1,£22.50000,£22.50,118363563,2025-11-24T06:00:00Z,-,Active,Box,,,,,"{""Display Type"": ""TFT - Color"", ""Display Mode"": ""Transmissive"", ""Touchscreen"": ""Resistive"", ""Diagonal Screen Size"": ""3.5\"" (88.90mm)"", ""Viewing Area"": ""71.82mm W x 55.05mm H"", ""Backlight"": ""LED - White"", ""Dot Pixels"": ""320 x 240 (QVGA)"", ""Interface"": ""Parallel, 24-Bit (RGB)"", ""Controller Type"": ""ST7272A"", ""Graphics Color"": ""Red, Green, Blue (RGB)"", ""Background Color"": ""-"", ""Dot Size"": ""-"", ""Dot Pitch"": ""-""}"
"12 CHANNEL TOUCH CONTROLLER, I2C",Data Acquisition,150-MTCH2120-V/SO-ND,MTCH2120-V/SO,Microchip Technology,5,£0.99000,£4.95,118363563,2025-11-24T06:00:00Z,-,Active,Tube,,,,,"{""Touchscreen"": ""2 Wire Capacitive"", ""Resolution (Bits)"": ""-"", ""Interface"": ""I2C"", ""Voltage Reference"": ""Internal"", ""Voltage - Supply"": ""3V ~ 5V"", ""Operating Temperature"": ""-40°C ~ 105°C"", ""Mounting Type"": ""Surface Mount"", ""Grade"": ""-"", ""Qualification"": ""-"", ""Package / Case"": ""20-SOIC (0.295\"", 7.50mm Width)"", ""Supplier Device Package"": ""20-SOIC""}"
NUCLEO-144 STM32U5A5ZJ EVAL BRD,Evaluation Boards,497-NUCLEO-U5A5ZJ-Q-ND,NUCLEO-U5A5ZJ-Q,STMicroelectronics,7,£26.26000,£183.82,118256007,2025-11-19T20:00:21.217Z,STM32U5,Active,Bulk,,,,,"{""Type"": ""MCU 32-Bit"", ""Platform"": ""Nucleo-144"", ""Utilized IC / Part"": ""STM32U5A5ZJ"", ""Mounting Type"": ""Fixed"", ""Contents"": ""Board(s)"", ""Interconnect System"": ""Arduino R3 Shield, ST Morpho, ST Zio"", ""Suggested Programming Environment"": ""IAR EW, Keil MDK, STM32Cube"", ""Note"": ""-""}"
CONN MICROSD CARD PCB,Memory Connectors,4294-MSDV-2008-AKA0T01-ND,MSDV-2008-AKA0T01,Aces Connectors,10,£1.23500,£12.35,118256007,2025-11-19T20:00:21.217Z,-,Active,Tray,,,,,"{""Card Type"": ""microSD™"", ""Number of Positions"": ""8"", ""Connector Type"": ""Connector and Ejector"", ""Insertion, Removal Method"": ""Push In, Pull Out"", ""Ejector Side"": ""-"", ""Mounting Type"": ""Through Hole"", ""Features"": ""-"", ""Height Above Board"": ""0.558\"" (14.18mm)"", ""Mounting Feature"": ""Normal, Standard - Top"", ""Contact Finish"": ""Gold"", ""Contact Finish Thickness"": ""12.0µin (0.30µm)""}"
MEM CARD MICROSD 128MB CLASS 4,Memory Cards,1528-5250-ND,5250,Adafruit Industries LLC,4,£3.03000,£12.12,118256007,2025-11-19T20:00:21.217Z,-,Active,Bulk,,,,,"{""Memory Type"": ""microSD™"", ""Memory Size"": ""128MB"", ""Technology"": ""-"", ""Operating Temperature"": ""-""}"
NUCLEO-144 STM32U5A5ZJ EVAL BRD,Evaluation Boards,497-NUCLEO-U5A5ZJ-Q-ND,NUCLEO-U5A5ZJ-Q,STMicroelectronics,3,£25.46000,£76.38,116566380,2025-09-25T19:38:11.896Z,STM32U5,Active,Bulk,,,,,"{""Type"": ""MCU 32-Bit"", ""Platform"": ""Nucleo-144"", ""Utilized IC / Part"": ""STM32U5A5ZJ"", ""Mounting Type"": ""Fixed"", ""Contents"": ""Board(s)"", ""Interconnect System"": ""Arduino R3 Shield, ST Morpho, ST Zio"", ""Suggested Programming Environment"": ""IAR EW, Keil MDK, STM32Cube"", ""Note"": ""-""}"
IC FRAM 2MBIT SPI 40MHZ 8SOP,Memory,865-1286-1-ND,MB85RS2MTAPNF-G-BDERE1,RAMXEED,5,£4.48000,£22.40,116566380,2025-09-25T19:38:11.896Z,-,Active,Cut Tape (CT),,,,,"{""DigiKey Programmable"": ""Not Verified"", ""Memory Type"": ""Non-Volatile"", ""Memory Format"": ""FRAM"", ""Technology"": ""FRAM (Ferroelectric RAM)"", ""Memory Size"": ""2Mbit"", ""Memory Organization"": ""256K x 8"", ""Memory Interface"": ""SPI"", ""Clock Frequency"": ""40 MHz"", ""Write Cycle Time - Word, Page"": ""-"", ""Voltage - Supply"": ""1.8V ~ 3.6V"", ""Operating Temperature"": ""-40°C ~ 85°C (TA)"", ""Mounting Type"": ""Surface Mount"", ""Package / Case"": ""8-SOIC (0.154\"", 3.90mm Width)"", ""Supplier Device Package"": ""8-SOP""}"
IC EEPROM 1MBIT I2C 1MHZ 8SOIC,Memory,AT24CM01-SSHD-TCT-ND,AT24CM01-SSHD-T,Microchip Technology,10,£0.81000,£8.10,116566380,2025-09-25T19:38:11.896Z,-,Active,Cut Tape (CT),,,,,"{""DigiKey Programmable"": ""Verified"", ""Memory Type"": ""Non-Volatile"", ""Memory Format"": ""EEPROM"", ""Technology"": ""EEPROM"", ""Memory Size"": ""1Mbit"", ""Memory Organization"": ""128K x 8"", ""Memory Interface"": ""I2C"", ""Clock Frequency"": ""1 MHz"", ""Write Cycle Time - Word, Page"": ""5ms"", ""Access Time"": ""550 ns"", ""Voltage - Supply"": ""2.5V ~ 5.5V"", ""Operating Temperature"": ""-40°C ~ 85°C (TA)"", ""Mounting Type"": ""Surface Mount"", ""Package / Case"": ""8-SOIC (0.154\"", 3.90mm Width)"", ""Supplier Device Package"": ""8-SOIC""}"
IC EPROM 16KBIT 1-WIRE TO92-3,Memory,DS2505+T&RCT-ND,DS2505+T&R,Analog Devices Inc./Maxim Integrated,5,£2.82000,£14.10,116566380,2025-09-25T19:38:11.896Z,-,Active,Cut Tape (CT),,,,,"{""DigiKey Programmable"": ""Verified"", ""Memory Type"": ""Non-Volatile"", ""Memory Format"": ""EPROM"", ""Technology"": ""EPROM - OTP"", ""Memory Size"": ""16Kbit"", ""Memory Organization"": ""16K x 1"", ""Memory Interface"": ""1-Wire®"", ""Write Cycle Time - Word, Page"": ""-"", ""Access Time"": ""15 µs"", ""Voltage - Supply"": ""-"", ""Operating Temperature"": ""-40°C ~ 85°C (TA)"", ""Mounting Type"": ""Through Hole"", ""Package / Case"": ""TO-226-3, TO-92-3 (TO-226AA) Formed Leads"", ""Supplier Device Package"": ""TO-92-3""}"
IC EPROM 1MBIT PARALLEL 32DIP,Memory,AT27C010-70PU-ND,AT27C010-70PU,Microchip Technology,4,£3.44000,£13.76,116566380,2025-09-25T19:38:11.896Z,-,Active,Tube,,,,,"{""DigiKey Programmable"": ""Verified"", ""Memory Type"": ""Non-Volatile"", ""Memory Format"": ""EPROM"", ""Technology"": ""EPROM - OTP"", ""Memory Size"": ""1Mbit"", ""Memory Organization"": ""128K x 8"", ""Memory Interface"": ""Parallel"", ""Write Cycle Time - Word, Page"": ""-"", ""Access Time"": ""70 ns"", ""Voltage - Supply"": ""4.5V ~ 5.5V"", ""Operating Temperature"": ""-40°C ~ 85°C (TC)"", ""Mounting Type"": ""Through Hole"", ""Package / Case"": ""32-DIP (0.600\"", 15.24mm)"", ""Supplier Device Package"": ""32-PDIP""}"
RES 10K OHM 1% 1/4W AXIAL,Through Hole Resistors,10.0KXBK-ND,MFR-25FBF52-10K,YAGEO,50,£0.02120,£1.06,116566380,2025-09-25T19:38:11.896Z,MFR,Active,Bulk,,,,,"{""Resistance"": ""10 kOhms"", ""Tolerance"": ""±1%"", ""Power (Watts)"": ""0.25W, 1/4W"", ""Composition"": ""Metal Film"", ""Features"": ""-"", ""Temperature Coefficient"": ""±100ppm/°C"", ""Operating Temperature"": ""-55°C ~ 155°C"", ""Package / Case"": ""Axial"", ""Supplier Device Package"": ""Axial"", ""Size / Dimension"": ""0.094\"" Dia x 0.248\"" L (2.40mm x 6.30mm)"", ""Height - Seated (Max)"": ""-"", ""Number of Terminations"": ""2"", ""Failure Rate"": ""-""}"
IC MCU 32BIT 256KB FLASH 48LQFP,Embedded,497-STM32U073CCT6-ND,STM32U073CCT6,STMicroelectronics,5,£2.33000,£11.65,116566380,2025-09-25T19:38:11.896Z,STM32U0,Active,Tray,ARM® Cortex®-M0+,Cortex-M0+,56MHz,256KB (256K x 8),"{""Connectivity"": ""I2C, IrDA, LINbus, SPI, UART/USART, USB"", ""Peripherals"": ""Brown-out Detect/Reset, CapSense, DMA, LCD, LVD, PWM, Temp Sensor, TRNG, WDT"", ""Number of I/O"": ""39"", ""Program Memory Type"": ""FLASH"", ""EEPROM Size"": ""-"", ""RAM Size"": ""40K x 8"", ""Voltage - Supply (Vcc/Vdd)"": ""1.71V ~ 3.6V"", ""Data Converters"": ""A/D 16x12b SAR; D/A 1x12b"", ""Oscillator Type"": ""External, Internal"", ""Operating Temperature"": ""-40°C ~ 85°C (TA)"", ""Grade"": ""-"", ""Qualification"": ""-"", ""Mounting Type"": ""Surface Mount"", ""Supplier Device Package"": ""48-LQFP (7x7)"", ""Package / Case"": ""48-LQFP""}"
KIT EVALUATION MAX 10 FPGA,Evaluation Boards,544-3042-ND,EK-10M08E144,Intel,1,£39.00000,£39.00,107898616,2024-10-21T13:42:36Z,MAX® 10,Active,Box,,,,,"{""Type"": ""FPGA"", ""Platform"": ""MAX 10 FPGA"", ""Contents"": ""Board(s), Cable(s)"", ""Utilized IC / Part"": ""10M08SA"", ""Interconnect System"": ""Arduino R3 Shield"", ""Suggested Programming Environment"": ""Quartus Prime"", ""Note"": ""-"", ""Notification"": ""By clicking Buy You agree: You are a product/software developer/system integrator; kit is for evaluation only, not for resale.""}"
XTAL OSC XO 32.768KHZ SMD,Oscillators,XC3153CT-ND,ECS-327MVATX-1-CN-TR,ECS Inc.,10,£0.70000,£7.00,107898616,2024-10-21T13:42:36Z,ECS-327MVATX MultiVolt™,Active,Cut Tape (CT),,,,,"{""Base Resonator"": ""Crystal"", ""Type"": ""XO (Standard)"", ""Frequency"": ""32.768 kHz"", ""Function"": ""Enable/Disable"", ""Output"": ""CMOS"", ""Voltage - Supply"": ""1.6V ~ 3.6V"", ""Frequency Stability"": ""±25ppm"", ""Absolute Pull Range (APR)"": ""-"", ""Operating Temperature"": ""-40°C ~ 85°C"", ""Spread Spectrum Bandwidth"": ""-"", ""Current - Supply (Max)"": ""200µA"", ""Ratings"": ""-"", ""Mounting Type"": ""Surface Mount"", ""Package / Case"": ""4-SMD, No Lead"", ""Supplier Device Package"": ""4-SMD (2x1.6)"", ""Size / Dimension"": ""0.079\"" L x 0.063\"" W (2.00mm x 1.60mm)"", ""Height - Seated (Max)"": ""0.035\"" (0.90mm)"", ""Current - Supply (Disable) (Max)"": ""-""}"
"MAX1000 - IOT MAKER BOARD, 16KLE",Evaluation Boards,1686-TEI0001-04-FBC84A-ND,TEI0001-04-FBC84A,Trenz Electronic GmbH,2,£42.10000,£84.20,107898616,2024-10-21T13:42:36Z,MAX® 10,Discontinued at Digi-Key,Bulk,,,,,"{""Type"": ""FPGA"", ""Platform"": ""MAX1000 IoT Maker MAX 10 FPGA"", ""Contents"": ""Board(s)"", ""Utilized IC / Part"": ""10M16SA"", ""Interconnect System"": ""Arduino MKR, Pmod"", ""Suggested Programming Environment"": ""Quartus Prime"", ""Note"": ""-""}"
IC OPAMP GP 2 CIRCUIT 8SOIC,Linear,296-47593-1-ND,LMV358AIDR,Texas Instruments,25,£0.08720,£2.18,107898616,2024-10-21T13:42:36Z,LMV®,Active,Cut Tape (CT),,,,,"{""Amplifier Type"": ""Standard (General Purpose)"", ""Number of Circuits"": ""2"", ""Output Type"": ""Rail-to-Rail"", ""Slew Rate"": ""1.7V/µs"", ""Gain Bandwidth Product"": ""1 MHz"", ""Current - Input Bias"": ""10 pA"", ""Voltage - Input Offset"": ""1 mV"", ""Current - Supply"": ""70µA (x2 Channels)"", ""Current - Output / Channel"": ""40 mA"", ""Voltage - Supply Span (Min)"": ""2.5 V"", ""Voltage - Supply Span (Max)"": ""5.5 V"", ""Operating Temperature"": ""-40°C ~ 125°C (TA)"", ""Mounting Type"": ""Surface Mount"", ""Package / Case"": ""8-SOIC (0.154\"", 3.90mm Width)"", ""Supplier Device Package"": ""8-SOIC""}"
IC OPAMP GP 2 CIRCUIT 8SOIC,Linear,296-LM2904DRCT-ND,LM2904DR,Texas Instruments,25,£0.09600,£2.40,107898616,2024-10-21T13:42:36Z,-,Active,Cut Tape (CT),,,,,"{""Amplifier Type"": ""Standard (General Purpose)"", ""Number of Circuits"": ""2"", ""Output Type"": ""-"", ""Slew Rate"": ""0.3V/µs"", ""Gain Bandwidth Product"": ""700 kHz"", ""Current - Input Bias"": ""20 nA"", ""Voltage - Input Offset"": ""3 mV"", ""Current - Supply"": ""500µA (x2 Channels)"", ""Current - Output / Channel"": ""40 mA"", ""Voltage - Supply Span (Min)"": ""3 V"", ""Voltage - Supply Span (Max)"": ""26 V"", ""Operating Temperature"": ""-40°C ~ 125°C (TA)"", ""Mounting Type"": ""Surface Mount"", ""Package / Case"": ""8-SOIC (0.154\"", 3.90mm Width)"", ""Supplier Device Package"": ""8-SOIC""}"
IC OPAMP GP 2 CIRCUIT 8SOIC,Linear,296-51267-1-ND,LM358LVIDR,Texas Instruments,25,£0.08200,£2.05,107898616,2024-10-21T13:42:36Z,-,Active,Cut Tape (CT),,,,,"{""Amplifier Type"": ""Standard (General Purpose)"", ""Number of Circuits"": ""2"", ""Output Type"": ""-"", ""Slew Rate"": ""1.5V/µs"", ""Gain Bandwidth Product"": ""1 MHz"", ""Current - Input Bias"": ""15 pA"", ""Voltage - Input Offset"": ""1 mV"", ""Current - Supply"": ""90µA (x2 Channels)"", ""Current - Output / Channel"": ""40 mA"", ""Voltage - Supply Span (Min)"": ""2.7 V"", ""Voltage - Supply Span (Max)"": ""5.5 V"", ""Operating Temperature"": ""-40°C ~ 125°C"", ""Mounting Type"": ""Surface Mount"", ""Package / Case"": ""8-SOIC (0.154\"", 3.90mm Width)"", ""Supplier Device Package"": ""8-SOIC""}"
IC OPAMP JFET 1 CIRCUIT SOT23-5,Linear,296-TL071HIDBVRCT-ND,TL071HIDBVR,Texas Instruments,25,£0.09600,£2.40,107898616,2024-10-21T13:42:36Z,-,Active,Cut Tape (CT),,,,,"{""Amplifier Type"": ""J-FET"", ""Number of Circuits"": ""1"", ""Output Type"": ""-"", ""Slew Rate"": ""20V/µs"", ""Gain Bandwidth Product"": ""5.25 MHz"", ""Current - Input Bias"": ""1 pA"", ""Voltage - Input Offset"": ""1 mV"", ""Current - Supply"": ""1.4mA"", ""Voltage - Supply Span (Min)"": ""4.5 V"", ""Voltage - Supply Span (Max)"": ""40 V"", ""Operating Temperature"": ""-40°C ~ 125°C (TA)"", ""Mounting Type"": ""Surface Mount"", ""Package / Case"": ""SC-74A, SOT-753"", ""Supplier Device Package"": ""SOT-23-5""}"
IC OPAMP GP 2 CIRCUIT 8SOIC,Linear,296-14634-1-ND,RC4558DR,Texas Instruments,25,£0.09800,£2.45,107898616,2024-10-21T13:42:36Z,-,Active,Cut Tape (CT),,,,,"{""Amplifier Type"": ""Standard (General Purpose)"", ""Number of Circuits"": ""2"", ""Output Type"": ""Differential"", ""Slew Rate"": ""1.7V/µs"", ""Gain Bandwidth Product"": ""3 MHz"", ""Current - Input Bias"": ""150 nA"", ""Voltage - Input Offset"": ""500 µV"", ""Current - Supply"": ""2.5mA (x2 Channels)"", ""Current - Output / Channel"": ""10 mA"", ""Voltage - Supply Span (Min)"": ""10 V"", ""Voltage - Supply Span (Max)"": ""30 V"", ""Operating Temperature"": ""0°C ~ 70°C"", ""Mounting Type"": ""Surface Mount"", ""Package / Case"": ""8-SOIC (0.154\"", 3.90mm Width)"", ""Supplier Device Package"": ""8-SOIC""}"
IC OPAMP GP 2 CIRCUIT 8VSSOP,Linear,296-LM358BIDGKRCT-ND,LM358BIDGKR,Texas Instruments,25,£0.09560,£2.39,107898616,2024-10-21T13:42:36Z,-,Active,Cut Tape (CT),,,,,"{""Amplifier Type"": ""Standard (General Purpose)"", ""Number of Circuits"": ""2"", ""Output Type"": ""-"", ""Slew Rate"": ""0.5V/µs"", ""Gain Bandwidth Product"": ""1.2 MHz"", ""Current - Input Bias"": ""10 nA"", ""Voltage - Input Offset"": ""300 µV"", ""Current - Supply"": ""300µA (x2 Channels)"", ""Current - Output / Channel"": ""30 mA"", ""Voltage - Supply Span (Min)"": ""3 V"", ""Voltage - Supply Span (Max)"": ""36 V"", ""Operating Temperature"": ""-40°C ~ 85°C (TA)"", ""Mounting Type"": ""Surface Mount"", ""Package / Case"": ""8-TSSOP, 8-MSOP (0.118\"", 3.00mm Width)"", ""Supplier Device Package"": ""8-VSSOP""}"
IC OPAMP GP 2 CIRCUIT 8SOIC,Linear,296-51267-1-ND,LM358LVIDR,Texas Instruments,25,£0.08200,£2.05,107898616,2024-10-21T13:42:36Z,-,Active,Cut Tape (CT),,,,,"{""Amplifier Type"": ""Standard (General Purpose)"", ""Number of Circuits"": ""2"", ""Output Type"": ""-"", ""Slew Rate"": ""1.5V/µs"", ""Gain Bandwidth Product"": ""1 MHz"", ""Current - Input Bias"": ""15 pA"", ""Voltage - Input Offset"": ""1 mV"", ""Current - Supply"": ""90µA (x2 Channels)"", ""Current - Output / Channel"": ""40 mA"", ""Voltage - Supply Span (Min)"": ""2.7 V"", ""Voltage - Supply Span (Max)"": ""5.5 V"", ""Operating Temperature"": ""-40°C ~ 125°C"", ""Mounting Type"": ""Surface Mount"", ""Package / Case"": ""8-SOIC (0.154\"", 3.90mm Width)"", ""Supplier Device Package"": ""8-SOIC""}"
IC OPAMP GP 2 CIRCUIT 8SOIC,Linear,296-14601-1-ND,LM358ADR,Texas Instruments,35,£0.09480,£3.32,107898616,2024-10-21T13:42:36Z,-,Active,Cut Tape (CT),,,,,"{""Amplifier Type"": ""Standard (General Purpose)"", ""Number of Circuits"": ""2"", ""Output Type"": ""-"", ""Slew Rate"": ""0.3V/µs"", ""Gain Bandwidth Product"": ""700 kHz"", ""Current - Input Bias"": ""15 nA"", ""Voltage - Input Offset"": ""2 mV"", ""Current - Supply"": ""500µA (x2 Channels)"", ""Current - Output / Channel"": ""40 mA"", ""Voltage - Supply Span (Min)"": ""3 V"", ""Voltage - Supply Span (Max)"": ""30 V"", ""Operating Temperature"": ""0°C ~ 70°C (TA)"", ""Mounting Type"": ""Surface Mount"", ""Package / Case"": ""8-SOIC (0.154\"", 3.90mm Width)"", ""Supplier Device Package"": ""8-SOIC""}"
IC OPAMP JFET 1 CIRCUIT 8SOIC,Linear,296-TL071HIDRCT-ND,TL071HIDR,Texas Instruments,25,£0.09600,£2.40,107898616,2024-10-21T13:42:36Z,-,Active,Cut Tape (CT),,,,,"{""Amplifier Type"": ""J-FET"", ""Number of Circuits"": ""1"", ""Output Type"": ""-"", ""Slew Rate"": ""20V/µs"", ""Gain Bandwidth Product"": ""5.25 MHz"", ""Current - Input Bias"": ""1 pA"", ""Voltage - Input Offset"": ""1 mV"", ""Current - Supply"": ""1.4mA"", ""Voltage - Supply Span (Min)"": ""4.5 V"", ""Voltage - Supply Span (Max)"": ""40 V"", ""Operating Temperature"": ""-40°C ~ 125°C (TA)"", ""Mounting Type"": ""Surface Mount"", ""Package / Case"": ""8-SOIC (0.154\"", 3.90mm Width)"", ""Supplier Device Package"": ""8-SOIC""}"
FIXED IND 470NH 700MA 180MOHM SM,Fixed Inductors,445-180208-1-ND,MLZ2012DR47DT000,TDK Corporation,50,£0.04060,£2.03,107898616,2024-10-21T13:42:36Z,MLZ,Active,Cut Tape (CT),,,,,"{""Type"": ""Multilayer"", ""Material - Core"": ""Ferrite"", ""Inductance"": ""470 nH"", ""Tolerance"": ""±20%"", ""Current Rating (Amps)"": ""700 mA"", ""Current - Saturation (Isat)"": ""550mA"", ""Shielding"": ""Shielded"", ""DC Resistance (DCR)"": ""180mOhm"", ""Q @ Freq"": ""-"", ""Frequency - Self Resonant"": ""-"", ""Ratings"": ""-"", ""Operating Temperature"": ""-55°C ~ 125°C"", ""Inductance Frequency - Test"": ""25 MHz"", ""Features"": ""-"", ""Mounting Type"": ""Surface Mount"", ""Package / Case"": ""0805 (2012 Metric)"", ""Supplier Device Package"": ""0805 (2012 Metric)"", ""Size / Dimension"": ""0.079\"" L x 0.049\"" W (2.00mm x 1.25mm)"", ""Height - Seated (Max)"": ""0.057\"" (1.45mm)""}"
FIXED IND 1.9NH 600MA 150MOHM SM,Fixed Inductors,490-12784-1-ND,LQP03TN1N9B02D,Murata Electronics,50,£0.02360,£1.18,107898616,2024-10-21T13:42:36Z,LQP03,Active,Cut Tape (CT),,,,,"{""Type"": ""Thick Film"", ""Material - Core"": ""Non-Magnetic"", ""Inductance"": ""1.9 nH"", ""Tolerance"": ""±0.1nH"", ""Current Rating (Amps)"": ""600 mA"", ""Current - Saturation (Isat)"": ""-"", ""Shielding"": ""Unshielded"", ""DC Resistance (DCR)"": ""150mOhm Max"", ""Q @ Freq"": ""14 @ 500MHz"", ""Frequency - Self Resonant"": ""12.5GHz"", ""Ratings"": ""-"", ""Operating Temperature"": ""-55°C ~ 125°C"", ""Inductance Frequency - Test"": ""500 MHz"", ""Features"": ""-"", ""Mounting Type"": ""Surface Mount"", ""Package / Case"": ""0201 (0603 Metric)"", ""Supplier Device Package"": ""0201 (0603 Metric)"", ""Size / Dimension"": ""0.024\"" L x 0.012\"" W (0.60mm x 0.30mm)"", ""Height - Seated (Max)"": ""0.013\"" (0.33mm)""}"
FIXED IND 0.6NH 850MA 70MOHM SMD,Fixed Inductors,490-6707-1-ND,LQP03TN0N6B02D,Murata Electronics,50,£0.02360,£1.18,107898616,2024-10-21T13:42:36Z,LQP03,Active,Cut Tape (CT),,,,,"{""Type"": ""Thick Film"", ""Material - Core"": ""Non-Magnetic"", ""Inductance"": ""0.6 nH"", ""Tolerance"": ""±0.1nH"", ""Current Rating (Amps)"": ""850 mA"", ""Current - Saturation (Isat)"": ""-"", ""Shielding"": ""Unshielded"", ""DC Resistance (DCR)"": ""70mOhm Max"", ""Q @ Freq"": ""14 @ 500MHz"", ""Frequency - Self Resonant"": ""20GHz"", ""Ratings"": ""-"", ""Operating Temperature"": ""-55°C ~ 125°C"", ""Inductance Frequency - Test"": ""500 MHz"", ""Features"": ""-"", ""Mounting Type"": ""Surface Mount"", ""Package / Case"": ""0201 (0603 Metric)"", ""Supplier Device Package"": ""0201 (0603 Metric)"", ""Size / Dimension"": ""0.024\"" L x 0.012\"" W (0.60mm x 0.30mm)"", ""Height - Seated (Max)"": ""0.013\"" (0.33mm)""}"
FIXED IND 1.5NH 300MA 130MOHM SM,Fixed Inductors,712-LRC0402CS1N5GV001TCT-ND,LRC0402CS1N5GV001T,Johanson Technology Inc.,50,£0.02400,£1.20,107898616,2024-10-21T13:42:36Z,-,Active,Cut Tape (CT),,,,,"{""Type"": ""Multilayer"", ""Material - Core"": ""Ceramic"", ""Inductance"": ""1.5 nH"", ""Tolerance"": ""±0.3nH"", ""Current Rating (Amps)"": ""300 mA"", ""Current - Saturation (Isat)"": ""-"", ""Shielding"": ""Unshielded"", ""DC Resistance (DCR)"": ""130mOhm Max"", ""Q @ Freq"": ""8 @ 100MHz"", ""Frequency - Self Resonant"": ""15GHz"", ""Ratings"": ""-"", ""Operating Temperature"": ""-55°C ~ 100°C"", ""Inductance Frequency - Test"": ""100 MHz"", ""Mounting Type"": ""Surface Mount"", ""Package / Case"": ""0402 (1005 Metric)"", ""Supplier Device Package"": ""0402 (1005 Metric)"", ""Size / Dimension"": ""0.039\"" L x 0.020\"" W (1.00mm x 0.50mm)"", ""Height - Seated (Max)"": ""0.024\"" (0.60mm)""}"
IC LNR REG CTRLR 1OUT 8DIP,Power Management (PMIC),576-2356-ND,MIC5156YN,Microchip Technology,5,£3.65000,£18.25,107898616,2024-10-21T13:42:36Z,-,Active,Tube,,,,,"{""Type"": ""Positive Adjustable"", ""Number of Outputs"": ""1"", ""Current - Supply"": ""2.7mA"", ""Voltage - Input"": ""3V ~ 36V"", ""Operating Temperature"": ""-40°C ~ 85°C"", ""Mounting Type"": ""Through Hole"", ""Supplier Device Package"": ""8-PDIP"", ""Package / Case"": ""8-DIP (0.300\"", 7.62mm)""}"
IC SUPERVISOR 1 CHANNEL SOT23-3,Power Management (PMIC),3565-RS809-4.65YSF3CT-ND,RS809-4.65YSF3,Runic Technology,25,£0.13280,£3.32,107898616,2024-10-21T13:42:36Z,-,Active,Cut Tape (CT),,,,,"{""DigiKey Programmable"": ""-"", ""Type"": ""Power Supply Monitor"", ""Number of Voltages Monitored"": ""1"", ""Voltage - Threshold"": ""4.65V"", ""Output"": ""Push-Pull, Totem Pole"", ""Reset"": ""Active Low"", ""Reset Timeout"": ""33µs Typical"", ""Operating Temperature"": ""-40°C ~ 125°C (TA)"", ""Grade"": ""-"", ""Qualification"": ""-"", ""Mounting Type"": ""Surface Mount"", ""Package / Case"": ""TO-236-3, SC-59, SOT-23-3"", ""Supplier Device Package"": ""SOT-23-3""}"
